"row_number","job_country","salary","total_jobs"
"1","Bahamas","201512","21"
"2","Sudan","135038","1612"
"3","United States","126018","15813"
"4","Chile","124918","11"
"5","Canada","123228","459"
"6","Sweden","120637","47"
"7","Ireland","120099","51"
"8","Brazil","118662","62"
"9","Australia","118391","75"
"10","Portugal","115896","132"
"11","Germany","115801","257"
"12","Netherlands","115735","86"
"13","Slovakia","114428","16"
"14","India","113768","580"
"15","Mexico","113671","109"
"16","Finland","113256","25"
"17","South Korea","113249","68"
"18","Bulgaria","112788","34"
"19","Lithuania","112562","10"
"20","Morocco","111882","13"
"21","Japan","111867","32"
"22","Norway","111541","22"
"23","Czechia","111476","37"
"24","Israel","111304","103"
"25","Cyprus","111074","10"
"26","Denmark","111008","18"
"27","Luxembourg","109976","14"
"28","United Kingdom","109844","288"
"29","Costa Rica","108645","44"
"30","Colombia","108349","69"
"31","Sri Lanka","107854","18"
"32","New Zealand","107692","26"
"33","Spain","107299","144"
"34","Argentina","107024","33"
"35","Poland","106558","200"
"36","Singapore","106535","99"
"37","Austria","105269","18"
"38","Switzerland","105229","54"
"39","France","105211","239"
"40","South Africa","104757","91"
"41","Hungary","104035","62"
"42","Romania","103849","39"
"43","Greece","102995","80"
"44","Thailand","102988","53"
"45","Guam","102792","13"
"46","United Arab Emirates","100956","22"
"47","Pakistan","98779","24"
"48","Indonesia","97858","38"
"49","Belgium","96551","57"
"50","Malaysia","96007","60"
"51","Croatia","95368","19"
"52","Serbia","94975","19"
"53","Ukraine","94186","32"
"54","Italy","93196","47"
"55","Nigeria","91661","12"
"56","Vietnam","90107","56"
"57","Egypt","89095","20"
"58","Hong Kong","89086","19"
"59","Kazakhstan","87883","10"
"60","Estonia","85676","24"
"61","Philippines","83814","67"
"62","Puerto Rico","83013","36"
"63","Taiwan","82576","29"
"64","Turkey","78870","23"
