"job_title_short","skills","salary"
"Business Analyst","chef","220000"
"Business Analyst","numpy","157500"
"Business Analyst","ruby","150000"
"Business Analyst","hadoop","139201"
"Business Analyst","julia","136100"
"Cloud Engineer","rust","221844"
"Cloud Engineer","outlook","195000"
"Cloud Engineer","c++","186832"
"Cloud Engineer","splunk","182500"
"Cloud Engineer","swift","180000"
"Data Analyst","svn","400000"
"Data Analyst","solidity","179000"
"Data Analyst","couchbase","160515"
"Data Analyst","datarobot","155486"
"Data Analyst","golang","155000"
"Data Engineer","node","181862"
"Data Engineer","mongo","179403"
"Data Engineer","ggplot2","176250"
"Data Engineer","solidity","166250"
"Data Engineer","vue","159375"
"Data Scientist","asana","215477"
"Data Scientist","airtable","201143"
"Data Scientist","redhat","189500"
"Data Scientist","watson","187417"
"Data Scientist","elixir","170824"
"Machine Learning Engineer","haskell","213000"
"Machine Learning Engineer","chef","207050"
"Machine Learning Engineer","sheets","195000"
"Machine Learning Engineer","spreadsheet","190000"
"Machine Learning Engineer","kotlin","184500"
"Senior Data Analyst","vmware","375000"
"Senior Data Analyst","yarn","340000"
"Senior Data Analyst","fastapi","185000"
"Senior Data Analyst","golang","178500"
"Senior Data Analyst","rust","178500"
"Senior Data Engineer","arch","249000"
"Senior Data Engineer","mxnet","230000"
"Senior Data Engineer","airtable","180000"
"Senior Data Engineer","pytorch","175671"
"Senior Data Engineer","keras","173700"
"Senior Data Scientist","c#","204903"
"Senior Data Scientist","neo4j","189233"
"Senior Data Scientist","cassandra","184289"
"Senior Data Scientist","gitlab","184233"
"Senior Data Scientist","ringcentral","182500"
"Software Engineer","cassandra","213333"
"Software Engineer","debian","196500"
"Software Engineer","neo4j","183840"
"Software Engineer","couchbase","166250"
"Software Engineer","assembly","157188"
